Date,Member,Party,State / District,Title,Press Release
April 18,Elise Stefanik,R,N.Y.-21,"Stefanik, Khanna Introduce the Blast Overpressure Safety Act"," Washington, D.C. - Today, Congressman Tom Emmer (MN-06) joined Representatives Fischbach (MN-07), Stauber (MN-08), and Finstad (MN-01) in sending a letter to Governor Walz regarding Hennepin County Attorney Mary Moriarty's abuse of her position to wrongfully charge State Patrol Trooper Ryan Londregan and making him aware that the delegation is requesting the House Judiciary Committee investigate the prosecution. The full letter can be read here and below: Dear Governor Walz,We write to you today to express our outrage at the ongoing prosecution of State Trooper Ryan Londregan, and the continued attack on law enforcement officers. We also write to inform you that we will be requesting the House Judiciary Committee conduct an investigation on this matter. Hennepin County Attorney Mary Moriarty has weaponized her position against law enforcement. She ignored an independent use-of-force expert chosen by her own office, who stated that Trooper Londregan acted as a “reasonable officer” would have. The fact that Trooper Londregan is still being charged with second-degree murder, along with other charges, after this statement from the prosecution’s own expert can lead us to only one conclusion; this prosecution is politically motivated.We’ve seen the tragic consequences of the denigration of this noble profession. In 2023, 378 officers were shot in the line of duty, the highest number since the Fraternal Order of Police began collecting this data. Too many of these deaths hit close to home here in Minnesota. The split second that officers have to make life-and-death decisions has often been clouded by the fear of political persecution, like what is happening to Trooper Londregan right now. Enough is enough. The uncertainty that this frivolous case puts in officers' minds could cost them their lives.It is time for us as a nation to stop demonizing law enforcement. It is time for you to remove this case from the Hennepin County Attorney’s office. It is time for you to listen to Minnesota’s law enforcement community and ensure that Trooper Londregan is treated fairly under the law. Respectfully, Congressman Tom Emmer Congresswoman Michelle Fischbach Congressman Pete Stauber Congressman Brad Finstad  Background  State Trooper Londregan was charged with felony counts of second-degree unintentional murder, first-degree assault, and second-degree manslaughter after he shot and killed Ricky Cobb II. An expert concluded Trooper Londregan followed his training and acted lawfully to save his partner's life. Hennepin County Attorney Mary Moriarty ignored this expert in order to advance her politically motivated and unjust prosecution. ### Permalink: https://emmer.house.gov/2024/3/emmer-and-mn-republicans"
April 16,Darin M. LaHood,R,Ill.-16,LaHood Announces 2024 16th Congressional District Art Competition Winners," Washington, D.C. - Today, Congressman Tom Emmer (MN-06) joined Minnesota Republicans Congresswoman Michelle Fischbach (MN-07), Congressman Pete Stauber (MN-08), and Congressman Brad Finstad (MN-01), in a letter to House Judiciary Committee Chairman Jim Jordan and Ranking Member Jerry Nadler requesting the committee hold a hearing to investigate the Hennepin County Attorney's Office in Minnesota. Specifically, they request an investigation into the charges that have been brought against Minnesota State Trooper Ryan Londregan.  As stated in the letter, ""The Federal government has demonstrated its willingness to involve itself in Hennepin County's justice system in the past. Last year the Department of Justice published a report after carrying out an investigation of the Minneapolis Police Department, located in the same county. The developments of this case are concerning and point to a deliberate attempt to use the Hennepin County Attorney's Office to target members of the law enforcement community. We believe that this is a flagrant example of a problem that your committee has been committed to exposing this Congress: the weaponization of government. We respectfully ask that your committee hold a hearing to examine this issue further.""  You can read the full letter here.   Background  The delegation sent a letter to Governor Walz regarding Hennepin County Attorney Mary Moriarty's abuse of power and making him aware they would request this of the House Judiciary Committee. As of the time of this release, the delegation has yet to receive a response.  ###  Permalink: https://emmer.house.gov/2024/4/minnesota-republicans-request-house-judiciary-committee-hold-hearing-to-investigate-hennepin-county-attorney-s-office"
April 17,Darin M. LaHood,R,Ill.-16,LaHood Stresses Importance of Addressing Digital Trade Retreat and Brazil's Biofuels Tariffs at Hearing with U.S. Trade Representative," Washington, D.C. – Today, in an effort to bolster America’s national security, Congressman Tom Emmer (MN-06) introduced the Ammunition Supply Chain Act. The legislation aims to ensure the resilience and efficiency of our nation’s ammunition manufacturing supply chain. Senator Jim Risch (R-ID) introduced companion legislation in the United States Senate.  The Ammunition Supply Chain Act requires the Secretary of the Army to provide a comprehensive report to Congress on the supply chain of ammunition manufacturing. The report will include information on sourcing raw materials used in ammunition production, examining weaknesses in the existing supply chain and the global demand for ammunition, and providing strategies for fostering public-private partnerships.  “As threats to our nation’s security evolve, it is more important than ever to take proactive measures to secure our ammunition supply chain. This is not only about enhancing our military readiness but also supporting American manufacturing and ensuring law-abiding Minnesotans and Americans can exercise their Second Amendment rights,” Congressman Emmer said.   ""This administration creates as many ridiculous hurdles as possible to restrict law-abiding gun owners’ access to affordable guns and ammunition,” said Senator Risch. “The Ammunition Supply Chain Act forces transparency from the Biden administration about the status of our domestic ammunition supply chain. This is vital to protect our right to bear arms and to ensure our military has the ammunition it needs to protect our country.”   Background Due to a rise in the use of ammunition and artillery in the Middle East and Eastern Europe, countries around the world are battling shortages of key materials needed for ammunition production, resulting in domestic ammunition prices skyrocketing, limiting millions of Americans’ ability to exercise their Second Amendment rights. Congressman Emmer has consistently championed and defended American’s Second Amendment rights. He recently introduced legislation to provide recourse for law-abiding Americans who were improperly denied the ability to legally purchase a firearm. Furthermore, Emmer staunchly opposed the Biden Administration’s crackdowns on stabilizing braces in 2023.  The Ammunition Supply Chain Act is cosponsored by Representatives Pete Stauber, Brad Finstad, Michelle Fischbach, Rick Crawford and Bruce Westerman.  The legislation is supported by the National Shooting Sports Foundation (NSSF) and Vista Outdoor.  Full text of the bill is available here.  ### Permalink: https://emmer.house.gov/2024/4/emmer-introduces-legislation-to-protect-ammunition-supply-chain"
April 18,Darin M. LaHood,R,Ill.-16,LaHood's Digital Trade for Development Act Passes Ways and Means Committee as Part of Generalized System of Preferences Reform Act,"
Reference ID: 18.d83a2217.1715273140.750c5f4
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 18,Jamie Raskin,D,Md.-8,"Reps. Raskin, Stansbury, and Omar Push for Supreme Court Accountability with New Legislation?","
Reference ID: 18.d83a2217.1715273141.750c871
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 17,Warren Davidson,R,Ohio-8,Rep. Warren Davidson Statement on the House of Representatives Passing The Fourth Amendment Is Not For Sale Act,"
Reference ID: 18.d83a2217.1715273141.750cae3
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 16,Greg Stanton,D,Ariz.-4,"Stanton, Ciscomani Introduce Bipartisan Bill to Improve Coordination Between Border Management Agencies","
Reference ID: 18.d83a2217.1715273141.750cd9f
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 18,Greg Stanton,D,Ariz.-4,"Stanton, Kelly Introduce Bipartisan, Bicameral Bill to Expand Army Corps Efforts to Combat Drought","
Reference ID: 18.d83a2217.1715273141.750d09f
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 19,Brian Fitzpatrick,R,Pa.-1,"Fitzpatrick, Golden Statement on Speaker Johnson’s Foreign Aid, Border Security Effort","
Reference ID: 18.d83a2217.1715273141.750d351
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 19,Brian Fitzpatrick,R,Pa.-1,"Fitzpatrick, Pappas, Kildee, Gillibrand Introduce Bipartisan, Bicameral Legislation to Address PFAS Contamination and Hold Polluters Accountable","
Reference ID: 18.d83a2217.1715273141.750d668
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 19,Brian Fitzpatrick,R,Pa.-1,"Fitzpatrick, Bipartisan Colleagues Introduce Bill to Prevent U.S. Trade Policy Favoring Foreign E-Commerce","
Reference ID: 18.d83a2217.1715273141.750d8f8
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
March 20,Tom Emmer,R,Minn.-6,Emmer and MN Republicans Send Letter to Walz on Hennepin County's Mishandling of Trooper Londregan Case,"
Reference ID: 18.d83a2217.1715273141.750dbd8
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 16,Tom Emmer,R,Minn.-6,Minnesota Republicans request House Judiciary Committee hold hearing to investigate Hennepin County Attorney's Office,"
Reference ID: 18.d83a2217.1715273142.750df7e
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 18,Tom Emmer,R,Minn.-6,Emmer Introduces Legislation to Protect Ammunition Supply Chain,"
Reference ID: 18.d83a2217.1715273142.750e24e
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 16,Shelley Moore Capito,R,W.Va.,Capito Announces Federal Resources for Initiatives Across West VirginiaRead More,"On April 13, the Iranian regime carried out a massive, unprecedented attack against Israel using drones, cruise missiles, and ballistic missiles. I’m glad the attack was largely thwarted, but I can’t imagine how terrifying it must have been for Israeli families. I will continue to keep them in my prayers during these dangerous times. While the Iranian regime has previously relied on its network of terror groups to attack Israel, this was the first time it has carried out a strike from its own soil against our most important ally in the Middle East. And it’s no coincidence that the attack occurred at a time when Israel’s support from the Biden administration is waning and after years of failed policies that have emboldened Iran.  There is no question in my mind that this attack would not have happened if former President Donald Trump was in office. Under Trump, the U.S. was feared by our enemies and respected by our allies. The Trump administration’s maximum pressure campaign against Iran was incredibly effective, whether it was scrapping the Iran Nuclear Deal, hitting Iran in its pocketbook with tough sanctions, or greenlighting a precision air strike to take out Iranian Quds Force commander Qasem Soleimani – the leader of the regime’s worldwide terrorist efforts. Unfortunately, Biden scrapped Trump’s maximum pressure campaign and replaced it with policies that have only emboldened Iran. It’s not just Biden’s policies that have emboldened Iran. It’s also his weak rhetoric and unacceptable criticism of Israel’s handling of its war against evil terrorists. Biden’s so-called warning to Iran just a day before the attack was a single message: ""Don’t."" And in the days following the attack, Biden and world leaders urged Israel to just “take the win” and not retaliate because the strikes caused minimal damage. They have no business dictating the terms of Israel’s response to a direct attack on their nation. And on the evening of April 18, Israel responded appropriately to Iran’s attack by taking out military targets in an effort to defend itself and discourage the regime from carrying out another attack.  What Israel needs right now more than ever is strong support from its allies. But since the October 7th terrorist attack, Washington Democrats have become increasingly critical of Israel and its war against the terrorists who carried out the worst massacre of the Jewish people since the Holocaust. The Left has called on Israel to agree to an immediate ceasefire without conditions for having their hostages returned home. They’ve demanded the U.S. cutoff military aid to Israel. They’ve called on Israel to host new elections in an effort to oust its prime minister. It’s absolutely unacceptable.   House Republicans are fighting back. In direct response to the April 13 attack, we advanced numerous measures to support Israel and hold the evil Iranian regime and its terror proxies accountable. We passed a bill to revoke the tax-exempt status of terrorist-supporting organizations, an effort I’ve helped lead as Chairman of the Ways and Means Committee. We also advanced a resolution condemning Iran's attack and reaffirming support for Israel. In addition, the House passed several bills aimed at strengthening sanctions on Iran, the number one state-sponsor of terror in the world.  Israel is one of our strongest allies and closest friends. Whether it’s providing weapons, aid, or intelligence, the U.S. must ensure Israel has the resources it needs to defend itself and keep its people safe. I will ALWAYS stand with Israel, and I will continue pushing this administration to do what’s right and abandon its policies that are emboldening Iran.  "
April 16,Shelley Moore Capito,R,W.Va.,Capito Announces Congressionally Directed Spending Award for Burnsville Wastewater Infrastructure UpgradesRead More,"
Reference ID: 18.d03a2217.1715273142.2bdeb3fe
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 16,Shelley Moore Capito,R,W.Va.,"VIDEO: Capito Questions HHS Secretary Becerra on Budget, Rural Healthcare, Opioid CrisisRead More","
Reference ID: 18.d03a2217.1715273142.2bdeb4a5
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 17,Shelley Moore Capito,R,W.Va.,Ranking Member Capito Opening Statement at Nuclear Regulatory Commission Nomination HearingRead More,"
Reference ID: 18.d03a2217.1715273142.2bdeb611
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 17,Shelley Moore Capito,R,W.Va.,"VIDEO: Capito to Hanson: Increased Capacity, Efficiency at Nuclear Regulatory Commission Essential to U.S. Energy, Environmental FutureRead More","
Reference ID: 18.d03a2217.1715273142.2bdeb727
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 17,Shelley Moore Capito,R,W.Va.,Capito Statement on Senate Democrats’ Refusal to Hold Full Impeachment Trial for MayorkasRead More,"
Reference ID: 18.d03a2217.1715273143.2bdeb8a3
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 18,Shelley Moore Capito,R,W.Va.,"In Case You Missed It: Capito, Colleagues Introduce CRA to Roll Back SEC’s Climate Disclosure RuleRead More","
Reference ID: 18.d03a2217.1715273143.2bdeb9cc
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 19,Shelley Moore Capito,R,W.Va.,Capito Statement on EPA’s PFAS DesignationsRead More,"Washington, D.C. - Congressman Bob Good (VA-05) introduced the Defund NPR Act to ensure that no taxpayer dollars fund the biased radical left messaging at National Public Radio (NPR). This legislation prohibits federal funding of NPR and prevents local public radio stations from using federal grant money to purchase content or pay dues to NPR.  “It is bad enough that so many media outlets push their slanted views instead of reporting the news, but it is even more egregious for hardworking taxpayers to be forced to pay for it. National Public Radio has a track record of promoting anti-American narratives on the taxpayer dime,” said Good. “My legislation would ensure no taxpayer dollars are used to fund the woke, leftist propaganda of National Public Radio.”  NPR was originally created to be an educational news source and to “speak with many voices, many dialects.” In the 55 years since NPR was founded, they have become a primary outlet for advancing biased and radical media coverage of political and social issues. On April 10, 2024, former Editor of NPR, Uri Berliner, issued a scathing review of the news outlet claiming it has “lost America’s trust.” Mr. Berliner resigned from NPR shortly after due to a lack of viewpoint diversity and a hard embrace of diversity, equity and inclusion (DEI) principles.   Background:  Co-sponsors (8): Rep. Perry (R-PA), Rep. Duncan (R-SC), Rep. Bishop (R-NC), Rep. Miller (R-IL), Rep. Clyde (R-GA), Rep. Eli Crane (R-AZ), Rep. Jackson (R-TX), Rep. Harris (R-MD) Supporting Groups: Family Research Council   
###"
April 19,Shelley Moore Capito,R,W.Va.,"In Case You Missed It: VIDEO: Capito Questions AG Garland on FCC Hazelton, Fentanyl Interdiction at Southern BorderRead More","Failed to scrape https://porter.house.govdocumentsingle.aspx?DocumentID=636: HTTPSConnectionPool(host='porter.house.govdocumentsingle.aspx', port=443): Max retries exceeded with url: /?DocumentID=636 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb0a03a24c0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))"
April 19,Shelley Moore Capito,R,W.Va.,"Capito, Colleagues Request Update on Progress with Non-Opioid Pain Management Options for VeteransRead More","Washington, DC – Yesterday, the House Financial Services Committee advanced Congressman Barr’s Congressional Review Act (CRA) to nullify the Consumer Financial Protection Bureau’s (CFPB) credit card late fee rule. This rule would cripple hardworking Americans’ ability to access financial services and products. ""This CRA sends a strong rebuke to the CFPB's overreach in its latest ill-conceived rule on credit card late fees,” said Congressman Barr. “In an effort to push a political agenda ahead of the presidential election, the CFPB will harm the very individuals it is tasked to protect by increasing the cost of credit, decreasing the availability of financial products and services, and penalizing consumers who pay their credit card payments on time. Ultimately, this rule will stifle Americans’ economic mobility and prosperity by incentivizing them to take on additional debt, which will lower their credit score, resulting in the reduced possibility of achieving the goal of homeownership, financing a vehicle, or accessing credit for other needs. The Biden administration has shown time and again that they believe debts do not need to be repaid. This CRA will nullify a rule that will result in nothing but bad outcomes for consumers. I look forward to working with Senator Scott to ensure this bill advances through both chambers and is sent to President Biden’s desk.” Watch Congressman Barr’s remarks in support of his CRA here. Permalink: https://barr.house.gov/2024/4/barr-s-cra-to-nullify-credit-card-late-fee-rule-advances-out-of-committee"
April 19,Shelley Moore Capito,R,W.Va.,"Capito, Manchin Lead Bipartisan Effort Urging President to Fill Vacancies on the International Trade Commission, Protect American BusinessesRead More","
Reference ID: 18.d03a2217.1715273144.2bdec273
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 19,Jason Smith,R,Mo.-8,The dangerous consequences of Biden’s failed foreign policy agenda,"
Reference ID: 18.d03a2217.1715273144.2bdec392
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 1,Ben Ray Luján,D,N.M.,"Heinrich, Luján, Leger Fernández Welcome $2.6 Million to Support Economic Development in Northern New Mexico, Wellbeing of New Mexico’s Seniors","
Reference ID: 18.d03a2217.1715273144.2bdec553
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 1,Ben Ray Luján,D,N.M.,"Luján, Warren, Casey Slam DoorDash and UberEats for Hidden Junk Fees, Demand Information About Fees and Ties to Executive Compensation","
Reference ID: 18.d83a2217.1715273144.7511b4b
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 1,Ben Ray Luján,D,N.M.,Luján Statement on Dismissal of Partisan Charges Against U.S. Homeland Security Secretary Alejandro Mayorkas,"
Reference ID: 18.d83a2217.1715273144.7511ef0
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 1,Ben Ray Luján,D,N.M.,Luján Statement on New Hermit’s Peak/Calf Canyon Claims Office Director,"
Reference ID: 18.d83a2217.1715273144.7512229
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 1,Ben Ray Luján,D,N.M.,Senator Luján and Colleagues Call for Stronger Action from Federal Regulator on Autonomous Vehicle Safety After High-Profile Crashes,"
Reference ID: 18.d83a2217.1715273144.7512547
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 1,Ben Ray Luján,D,N.M.,"Luján, Sullivan Introduce Bipartisan Legislation To Boost Wildfire Mitigation and Research","
Reference ID: 18.d83a2217.1715273145.75128d6
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
"
April 19,Robert Good,R,Va.-5,Rep. Good Calls for Defunding Biased NPR,"WASHINGTON - U.S. Representative Juan Vargas (CA-52) released the following statement today after American Rivers released its 2024 America’s Most Endangered Rivers report with the Tijuana River listed #9.  “For too long, sewage in the Tijuana River Valley has harmed public health, our local economies, and our ecosystems. This designation reaffirms what our communities already know too well - toxic pollution is flowing into the Tijuana River every day and we need the South Bay International Wastewater Treatment Plant to be expanded as quickly as possible. Recently, the San Diego Congressional delegation secured significant funding that can be used to make improvements to the treatment plant. We’re continuing to push for additional resources and to make sure the country of Mexico does its part as well. Our work is far from over. We’ll keep fighting for the health of our communities and waterways.” The 2024 America’s Most Endangered Rivers report is available here.  In March, the San Diego Congressional delegation announced over $156 million for the U.S. International Boundary Water Commission in the bipartisan government funding bill. The funding can be used for critical repairs to the South Bay International Wastewater Treatment Plant to help combat cross-border pollution.  In 2019, the San Diego Congressional delegation secured $300 million to expand the South Bay International Wastewater Treatment Plant from 25 million gallons per day to 50 million gallons per day. In 2022, the San Diego Congressional delegation successfully passed legislation to clear the path for the International Boundary and Water Commission to use the funds to address harmful pollutants in the Tijuana River Valley.  ###"
Feb. 9,Katie Porter,D,Calif.-47,Roll Call: Katie Porter takes aim at ‘half-baked’ privileged resolutions,"WASHINGTON - At a House Financial Services Committee hearing today, U.S. Representative Juan Vargas (CA-52), co-chair of the Congressional Sustainable Investment Caucus, voiced support for the U.S. Securities and Exchange Commission’s (SEC) recently finalized climate disclosure rule. “The SEC’s climate rule is about standardizing the climate related disclosures publicly traded companies must make so that regular people invested in the market can have access to the same information that businesses already are spending roughly $500,000 a year to access,” said Rep. Vargas. “Giving people more information is a good thing, not a bad thing.” “If you're a teacher, or a firefighter, or anyone that's working to earn a retirement for yourself and your family, because of this rule, you will have more information to help you decide which companies to trust with your hard-earned savings,” Rep. Vargas continued.  Last week, Rep. Vargas held a press conference with Rep. Sean Casten (IL-06) to underscore the need for the SEC’s climate disclosure rule.  Last year, Reps. Vargas and Casten founded the Congressional Sustainable Investment Caucus to create a forum to protect Americans’ freedom to invest while increasing the information available to market participants about the risks posed by climate change. Rep. Vargas’s Corporate Governance Improvement and Investor Protection Act, which passed the House in the 117th Congress, encouraged corporations to address important issues such as climate change and worker rights by requiring the SEC to create standard definitions for environmental and social responsibility metrics. The bill also included language from Rep. Casten’s Climate Risk Disclosure Act that required public companies to disclose additional information about their exposure to climate-related risks.  A rough transcript of Rep. Vargas’s remarks is below.  Rep. Vargas: The SEC’s climate rule is about standardizing the climate related disclosures publicly traded companies must make so that regular people invested in the market can have access to the same information that businesses already are spending roughly $500,000 a year to access. Giving people more information is a good thing, not a bad thing.  The reality is that climate change isn't just a threat to our planet, it's also a threat to our financial systems. Wildfires, floods, and hurricanes, and the risk of future climate disasters have a significant impact on families’ financial well-being. These are not far-left radicals. These are firefighters, these are police officers, these are teachers, these are regular investors, these are… everybody in our country, we want to know this information.  In fact, interestingly, this week, I was able to talk to some insurers, because they are having a difficult time insuring homes in California because of climate change, because of the wildfires. They’re not far-left radicals. These are people that want this information because they invest.  If you're a teacher, or a firefighter, or anyone that's working to earn a retirement for yourself and your family, because of this rule, you will have more information to help you decide which companies to trust with your hard-earned savings.  In issuing this rule, the SEC has remained true to the agency's mission to protect investors, maintain fair, orderly, and efficient markets and facilitate capital formation. Climate change also impacts anyone who has money invested in the market, including many, as I said, teachers, firefighters, with a pension, anyone who puts money away for a retirement account.  So I appreciate very much what the SEC has done here. And talking about transparency and talking about giving people the opportunity to take a look at this rule and to comment, it was an enormous amount of time, back and forth. And I think that they did a very good job.  Obviously, there's some of us that wished the rule would have gotten further… Scope Three information. But you know what, I think this is a very good start. So I applaud the SEC. I applaud them for what they've done there. It's clearly within their mandate, clearly opportunity is here to give information to investors that want this information. And I applaud them for what they do.  Lastly, I would say this, there has been this notion of denying climate change for many, many decades. And finally, people are understanding that this is real. It has real impacts on our country and throughout the world.  ###"
