Date,Member,Party,State / District,Title,Press Release,Caucus
April 16,Morgan Griffith,R,Va.-9,"Griffith Announces $1,044,168 HHS Grant to Scott County Public School Head Start Program","Press Release April 11, 2024 WASHINGTON, D.C. — U.S. Representative David Schweikert (AZ-01) authored an op-ed for the Phoenix Business Journal yesterday to advocate for the proven pro-growth policies in the Tax Relief for American Families and Workers Act, bipartisan legislation that will provide much-needed relief to struggling families and small businesses, spur innovation and job creation, and invest in the future of all Arizonans. Rep. Schweikert called on the U.S. Senate to swiftly pass the bipartisan tax package which passed the House with bipartisan support more than two months ago.  My View: Bipartisan tax package would help Arizona businesses growBy Congressman David SchweikertPhoenix Business JournalApril 10, 2024 Since first coming to Congress, my mission has been to help small businesses and families thrive in Arizona. As a staunch advocate for fiscal responsibility and economic prosperity, I’ve fought to foster a business environment where small businesses can succeed, innovation is incentivized, and workers and families are empowered. Small businesses form the backbone of our local economy, making up over 92% of the shops and restaurants in Scottsdale. While traveling across the district, I frequently hear from business owners and listen to their concerns. Through my position on the House Committee on Ways and Means, which serves as Congress’s chief tax-writing committee, I enthusiastically work to advance meaningful tax policy that promotes economic growth and ensures prosperity for future generations. Nearly seven years ago, I was proud to play an instrumental role in helping write the Tax Cuts and Jobs Act (TCJA), perhaps our nation’s most sweeping overhaul of the federal tax code in decades. In the first two years after TCJA, our country witnessed record-low unemployment, thousands of jobs created, and higher wages. This landmark legislation simultaneously lowered the tax burden for small businesses and American workers while encouraging innovation and competition to boost economic growth. Building off the success of TCJA, my colleagues and I worked to provide small businesses and households with targeted, immediate relief through the Tax Relief for American Families and Workers Act. This bipartisan tax package, which passed the House by a vote of 357-70, would revive proven pro-growth policies like restoring full and immediate research and development expensing and 100% bonus depreciation. Modernization and productivity play critical roles in expanding the economy, and these two provisions promise to spur the next generation of economic disruptors and turbocharge investments in capital equipment and machinery. R&D expensing can boost productivity, growth Simply put, R&D expensing is an investment in our country’s economic future. Allowing businesses to deduct R&D expenditures ensures that money otherwise used for bearing the financial burdens of running a business can be reinvested into developing technology and innovative solutions that will enhance productivity, boost global competitiveness, and stimulate economic growth. This provision alone is estimated to generate over $70 billion in new R&D investment and support over 21 million American jobs while providing the government with more than an 8-to-1 return on its investment. Similarly, the Tax Relief for American Families and Workers Act extends the allowance of a 100% bonus deduction for capital equipment and assets, giving businesses the green light to streamline their operations, upgrade manufacturing equipment and heavy machinery, and embrace state-of-the-art innovations that drive productivity. This provision is estimated to increase investment by $400 billion and create 73,000 new jobs. By providing small businesses with the resources and incentives they need to modernize and grow, we can unleash the full potential of the American economy and strengthen our nation’s economic resilience, competitiveness, and leadership on the global stage. The Tax Relief for American Families and Workers Act underscores the moral imperative of economic growth. As our economy expands, so does our revenue, and without growth, the government lacks a critical tool in restoring the fiscal sanity of the U.S. government.  This bipartisan tax bill provides much-needed relief to struggling families and small businesses, spurs innovation and job creation, and paves the way for a brighter and more prosperous future for all Arizonans. Now, this tax package awaits its fate in the Senate, while every day that passes is a wasted opportunity to deliver for our communities in need. Bipartisan victories are few and far between in this Congress. We have the chance to enact meaningful and impactful tax reform for hardworking Americans. I urge my colleagues in the Senate to seize this moment and act in the best interest of our nation’s economic future. Office Locations 
Washington, DC Office
                    460 Cannon House Office Building
                    Washington, DC 20515
                    Phone: (202) 225-2190
                    Fax: (202) 225-0096
                     
Scottsdale Office
                    14500 N. Northsight Blvd.
                    Ste. 221
                    Scottsdale, AZ 85260
                    Phone: (480) 946-2411
                    Fax: (480) 946-2446
                    ",Freedom Party
April 16,Andy Biggs,R,Ariz.-5,Continuing the Fight for Americans' Privacy,"Press Release April 12, 2024 WASHINGTON, D.C. — U.S. Representative David Schweikert (AZ-01) delivered a speech on the House Floor last night to warn about the disinformation campaign being waged by foreign countries like China, Russia, and Iran through the weaponization of artificial intelligence. Rep. Schweikert also discussed the terrifying reality that the federal government recently crossed the threshold of borrowing $100,000 per second. Excerpts from Rep. Schweikert’s floor speech can be found below: Click here or on the image above to view Rep. Schweikert’s remarks.On foreign governments weaponizing AI to spread misinformation: [Beginning at 2:13]“We don’t actually understand it, but we have a war going on, and it’s a war for hearts and minds and there are bad actors around this world. The number of data points we have here showing particularly China, Russia, Iran, and it’s getting weaponized at a level I don’t think any of us are intellectually ready for because AI is here. The plain language is here, and they’re moving off of just your Facebook page or your social media accounts. It is moving into now fake text messages, all sorts of other ways where they’re going to try to pollute and take down the West. And we are not the only ones. We have map after map of what China just did to Taiwan. Now, Taiwan actually has built a policy on how to help combat it. They get attacked on social media with fake stuff. They have teams that turn around and say, ‘Okay, here’s what they said. Here’s the documents. Look it up yourself.’ I don’t think we are ready for this.“How do you and I and our brothers and sisters on the Left and anyone who actually cares about this country, how do you have honest debates, honest discussions about that? In my case, I am fearful of the crushing debt. We’re going to walk through that. But other policy things, when you actually lay out facts, you lay out the information of what’s going on, and 90 seconds later there is a bot that basically is putting out absolute crap. How do you hold a society together but you can’t even agree on the baseline facts to build the debate from when article after article — some of these are huge. I brought the executive summaries. I mean, some of the ones we have gone through are hundreds of pages of tracking entire troll farms. There’s one document here saying that China may be spending multiple billions of dollars in influence operations here in this country to basically distort reality. And the point I’m going at right now, this seems like a weird place to go for a guy who wants to talk about the numbers of what’s happening in our government. I’m incredibly frustrated because I do not know how we have an honest debate when we have a disinformation wave coming at us from functionally governments, let alone the private troll farms that do it just for clickbait to make money.” On inflation’s impacts on the Phoenix-Scottsdale area: [Beginning at 21:31]“Why is the public so cranky? Seriously. I tried to have this conversation with folks at home, and I am blessed. I represent the Phoenix-Scottsdale area. If you have to represent a district, I represent one of the most beautiful spots, particularly in the winter months. I represent a fairly prosperous district. I represent a really well-educated district, a really entrepreneurial district. And yet a lot of my folks who if you see on the surface, they’re doing fairly well in life, and they’re stressed out of their minds because in my district, we have had the highest inflation in the continental United States. If you do not make 23.6% more money today than you did the day President Biden took office, you are poorer. So no matter what economic data this Body of Congress wants to talk about over and over and over. This is what matters when you actually look at the data of those who are non-supervisory or supervisory. Today they are poorer even when you put back in wage growth. Our brothers and sisters in America are poorer today, and in my district it’s worse. And I have a prosperous district. You want to understand why people are struggling and angry and frustrated. Maybe an honest conversation that we made them poorer.” On debt growth outpacing economic growth: [Beginning at 28:08]“But if you have someone who says we’ll just grow ourselves out of borrowing $100,000 a second, they are not good at math. Here’s the basic, simple rule. GDP — the size of the economy in 2023 — grew $1.5 trillion. Yay. But you do understand for that growth, you only get 17-18%, maybe even 19% of that in tax receipts. So in the growth, that’s wonderful, but it is not dollar-for-dollar. And so I will get people and say, ‘Okay, you guys borrowed $2.5 trillion. But the economy grew $1.5 trillion.’ Yes, it did grow [by $1.5 trillion], but I only get 17-18-19% of that in tax receipts. Do you understand the scale of growth you’d have to have for the tax receipts to come close to the borrowing?” Office Locations 
Washington, DC Office
                    460 Cannon House Office Building
                    Washington, DC 20515
                    Phone: (202) 225-2190
                    Fax: (202) 225-0096
                     
Scottsdale Office
                    14500 N. Northsight Blvd.
                    Ste. 221
                    Scottsdale, AZ 85260
                    Phone: (480) 946-2411
                    Fax: (480) 946-2446
                    ",Freedom Party
April 16,Nanette Barragán,D,Calif.-44,Rep. Barragn Celebrates Passage ofOutdoorsforAllAct in House as part of EXPLORE Act,"
Reference ID: 18.d03a2217.1715273263.2be4b741
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 14,Paul Gosar,R,Ariz.-9,This Week With Gosar,"
Reference ID: 18.c73a2217.1715273264.26b3a559
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Freedom Party
April 14,Jim Himes,D,Conn.-4,Himes Statement on Iranian Attack Against Israel,"Failed to scrape https://porter.house.govdocumentsingle.aspx?DocumentID=635: HTTPSConnectionPool(host='porter.house.govdocumentsingle.aspx', port=443): Max retries exceeded with url: /?DocumentID=635 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb08014cac0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",New Democrat Coalition
April 15,Jamaal Bowman,D,N.Y.-16,NEWS: REP. BOWMAN STATEMENT ON MILITARY ESCALATION IN THE MIDDLE EAST,"
Reference ID: 18.c73a2217.1715273269.26b3e0d8
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 12,Katie Porter,D,Calif.-47,Rep. Katie Porter Applauds Implementation of Her Law to Hold Big Oil Accountable,"
Reference ID: 18.d83a2217.1715273271.75d0fc9
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 15,Katie Porter,D,Calif.-47,Rep. Porter Advocacy Brings Afghan Support Center to Orange County,"
Reference ID: 18.d83a2217.1715273271.75d104f
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 14,Cori Bush,D,Mo.-1,Congresswoman Bush Statement on Escalation of Violence in Middle East,"
Reference ID: 18.d83a2217.1715273271.75d14f9
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 15,Bonnie Watson Coleman,D,N.J.-12,Rep. Bonnie Watson Coleman Introduces Gig Is Up Act to End Exploitation of Gig Workers,"
Reference ID: 18.d83a2217.1715273272.75d15cb
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 15,Mike Levin,D,Calif.-49,Rep. Mike Levin Calls on Speaker Johnson to Bring Maritime Border Security Bill to House Floor Immediately,"
Reference ID: 18.d83a2217.1715273272.75d1668
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 15,Barbara Lee,D,Calif.-12,"Congresswoman Barbara Lee, Tri-Caucus Leaders Call on Small Business Administration to Publish Complete Minority Contracting Data","
Reference ID: 18.d83a2217.1715273277.75d3859
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 15,David Rouzer,R,N.C.-7,"Rouzer, Valadao, Costa, Slotkin Launch Bipartisan Specialty Crops Caucus","U.S. Senate Majority Whip Dick Durbin (D-Ill.) and Congresswoman Chellie Pingree (D-Maine) today sent a letter to the Secretary of Veterans Affairs Denis McDonough requesting information about the implementation of “produce prescription” initiatives at the Veterans Health Administration (VHA). In 2022, President Biden called on VHA to begin the implementation of “produce prescriptions,” which allow patients who have diet-related chronic health conditions to be “prescribed” vouchers to purchase free or discounted fruits and vegetables. While the program is being piloted at VHA facilities in Houston and Salt Lake City, Congress needs more information about the program in order to understand how to best support the health and well-being of veterans across the United States, and potentially expand the program to more patients.  In their letter, the lawmakers requested an update on the produce prescription programming, noting that veterans have higher rates of illness as compared to other Americans. According to the Centers for Disease Control and Prevention (CDC), 19 percent of veterans have diabetes and 12 percent of veterans have heart disease compared to 16 percent and 12 percent of all Americans, respectively. “We are writing to request an update on the Department of Veterans Affairs’ (VA) efforts to implement ‘produce prescription’ initiatives within the Veterans Health Administration (VHA),” the lawmakers wrote.  “Veterans often suffer from higher rates of illness compared to the general population, in part because of the stress and trauma that veterans too often have experienced,” the lawmakers wrote. “VA research has found that there is a need for dietary interventions for the health management of veterans with chronic conditions. At the same time, veterans are at a higher risk for food insecurity than the general population, but are less likely to be enrolled in SNAP benefits. As such, it is essential to ensure that veterans have the support needed to address their chronic health conditions, including strategies to address access to healthy, affordable food.” The lawmakers noted that Congress approved $2 million in federal funding for the U.S. Department of Veterans Affairs (VA) to implement prescription produce initiatives within VHA.   In closing their letter, the lawmakers asked for additional information about how VHA has utilized the $2 million that Congress appropriated and about how it plans to scale the current produce prescription initiatives using the funds that Congress appropriated to serve more veterans across the nation.  “There are now two ‘produce prescription’ initiatives at VHA facilities in Houston, Texas, and Salt Lake City, Utah. Does VA plan to expand ‘produce prescriptions’ initiatives to other VHA facilities across the United States?” the lawmakers asked in their letter.  “Please explain in detail the resources, funding, or legislative authorities that the VA would require to expand ‘produce prescription’ initiatives to other VHA facilities across the United States, including any barriers to doing so,” the lawmakers requested as they concluded the letter.  Low fruit and vegetable consumption contributes to the fact that more than 50 percent of Americans have a diet-related chronic condition, such as heart disease, kidney disease, diabetes, and certain cancers. Veterans experience disproportionately higher rates of chronic disease compared to non-veterans, and 24 percent of veterans report being food insecure, which harms the ability to control their chronic diseases.   Initiatives that support veterans in obtaining fresh produce can improve health outcomes. According to the American Heart Association (AHA), adults who participate in produce prescription programs consume 30 percent more fruits and vegetables a day. In this research, AHA found that all participants in produce prescription programs experienced a measurable decrease in blood pressure and blood sugar.  A copy of the letter is available here and below. Pingree is a longtime organic farmer and serves on both the House Agriculture Committee, House Appropriations Subcommittees on Agriculture; Military Construction and Veterans Affairs; and Interior and Environment. She cofounded the bipartisan Food is Medicine Working Group.  +++ Dear Secretary McDonough,  We are writing to request an update on the Department of Veterans Affairs’ (VA) efforts to implement “produce prescription” initiatives within the Veterans Health Administration (VHA).   Nearly 60 percent of Americans have a diet-related chronic health condition, such as heart disease and type 2 diabetes.  These conditions claim the lives of more than half a million Americans on an annual basis.  In addition, these conditions take a significant economic toll.  Diabetes alone accounts for $327 billion in annual health care expenditures in the United States.  Veterans often suffer from higher rates of illness compared to the general population, in part because of the stress and trauma that veterans too often have experienced. According to the Centers for Disease Control and Prevention (CDC), more than 70 percent of veterans are obese compared to 60 percent of all Americans, 19 percent of veterans have diabetes compared to 16 percent of all Americans, and 12 percent of veterans have heart disease compared to seven percent of all Americans.  VA research has found that there is a need for dietary interventions for the health management of veterans with chronic conditions.  At the same time, veterans are at a higher risk for food insecurity than the general population, but are less likely to be enrolled in SNAP benefits.  As such, it is essential to ensure that veterans have the support needed to address their chronic health conditions, including strategies to address access to healthy, affordable food. As part of the White House Conference on Hunger, Nutrition, and Health, President Biden called for “prescription produce” initiatives to be implemented within the VHA.  Congress provided $2 million for the VA to do through the Consolidated Appropriations Act, 2023 (P.L. 117-328).  We appreciate that the VHA has worked with the Rockefeller Foundation to establish two “produce prescription” initiatives within VHA facilities in Houston, Texas, and Salt Lake City, Utah.  However, we want to understand how the VHA plans to scale such “produce prescription” initiatives across the United States to reach the millions of other veterans who could benefit from these initiatives.  We support the VA’s work to improve the health and well-being of veterans and believe that “produce prescription” initiatives may have the potential to support veterans while reducing health care expenditures through the VHA.  To help us better understand how Congress can support these efforts, we request that you respond to the following questions by May 13, 2024. As part of the Consolidated Appropriations Act, 2023(P.L. 117-328), Congress provided $2 million for VA “to provide guidance and resources for VA facilities to develop local [produce prescription] program and pursue strategies for patient education and outreach.”  On April 25, 2023, VA announced that it would partner with the Rockefeller Foundation to expand access to “produce prescription” initiatives within the VHA.  How has the VA used the $2 million appropriated by Congress in FY23?

If the VA has not used the $2 million for this MOU with the Rockefeller Foundation, how has the VA used these funds?

If the VA has not used the $2 million for this MOU with the Rockefeller Foundation, with what funds, if any, did the VA use for this initiative?

There are now two “produce prescription” initiatives at VHA facilities in Houston, Texas, and Salt Lake City, Utah.  Does VA plan to expand “produce prescriptions” initiatives to other VHA facilities across the United States using the funds that Congress appropriated?  

If so, when?

If not, why?

Please explain in detail the resources, funding, or legislative authorities that the VA would require to expand “produce prescription” initiatives to other VHA facilities across the United States using the funds that Congress appropriated, including any barriers to doing so.

We understand that the VA’s financial policies state that the VHA can purchase food or refreshments when part of “the provision of medical treatment to VA beneficiaries under 38 U.S.C. § 7301(b), e.g.,in-patient meals.”  Please explain in detail the VA’s interpretation of this rule as it relates to “produce prescriptions,” including whether or not it must be amended in order to expand “produce prescriptions” to reach other veterans across the United States.

Sincerely,

###
",Main Street
April 15,Salud Carbajal,D,Calif.-24,Carbajal Announces 2024 Women of the Year Award Winners,"
Reference ID: 18.d83a2217.1715273283.75d7351
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",New Democrat Coalition
April 15,Salud Carbajal,D,Calif.-24,"In Wake of Iran Attack and Amid Increasing Need in Gaza and Ukraine, Rep. Carbajal Joins Bipartisan Call for Speaker to Allow Vote on Senate-Passed National Security Funding Package","See the latest happenings in the 4th District by following me on my Facebook, Twitter, and Instagram social media channels. I encourage you to join the conversation! Today marks an important day in our history. 79 years ago, the United States and Allied Forces accepted the unconditional surrende... My prayers go out to the residents of Portage and all of the areas impacted by the tornados and storm damage that hit Southwest Mi... Happy Teacher Appreciation Day! I’m grateful to all of our teachers for the hard work and dedication they pour into their classroo... Holland 170 College Ave. Suite 160
Holland, MI 49423
T (616) 251-6741
F (771) 200-5821
 Portage 5228 Lovers Lane Suite 108 Portage, MI 49002
T (269) 569-8595
F (771) 200-5821
 Washington, DC 2232 Rayburn HOB
Washington, D.C. 20515
T (202) 225-4401
F (202) 226-0779
",New Democrat Coalition
April 15,Salud Carbajal,D,Calif.-24,President Biden Approves Rep. Carbajal Push To Unlock Additional Federal Aid for Central Coast Communities Impacted by Recent Storms,"Tonight, the U.S. House of Representatives passed H.R. 5921, legislation introduced by Congressman Bill Huizenga (R-MI) that is designed to hold Iran accountable as well as limit the Iranian regime’s ability to finance terrorism and attack Israel. Passage of this bipartisan bill follows Iran’s assault over the weekend on Israel, a key U.S. ally.  H.R. 5921, called the No U.S. Financing for Iran Act, passed the House with a bipartisan vote of 294-105. “Tonight, the House took decisive action,” said Congressman Bill Huizenga. “The No U.S. Financing for Iran Act will help cut off Iran’s ability to finance terrorism. I am proud to lead this bipartisan effort to protect Americans, stand up for Israel, and hold the Iranian regime accountable for their actions.”

Prior to the vote, Huizenga spoke on the House floor to discuss the importance of the No U.S. Financing for Iran Act. Video of Huizenga’s remarks are available below.

  See the latest happenings in the 4th District by following me on my Facebook, Twitter, and Instagram social media channels. I encourage you to join the conversation! Today marks an important day in our history. 79 years ago, the United States and Allied Forces accepted the unconditional surrende... My prayers go out to the residents of Portage and all of the areas impacted by the tornados and storm damage that hit Southwest Mi... Happy Teacher Appreciation Day! I’m grateful to all of our teachers for the hard work and dedication they pour into their classroo... Holland 170 College Ave. Suite 160
Holland, MI 49423
T (616) 251-6741
F (771) 200-5821
 Portage 5228 Lovers Lane Suite 108 Portage, MI 49002
T (269) 569-8595
F (771) 200-5821
 Washington, DC 2232 Rayburn HOB
Washington, D.C. 20515
T (202) 225-4401
F (202) 226-0779
",New Democrat Coalition
April 13,Lori Trahan,D,Mass.-3,Trahan Statement on Iran Drone Attack on Israel,"WASHINGTON – U.S. Representative Pramila Jayapal (WA-07) released the following statement marking one year since the start of war in Sudan: “The people of Sudan have been suffering for far too long. For decades, brutal military dictatorships have denied the Sudanese people their basic human rights. And since the onset of the current conflict between the Sudanese Armed Forces (SAF) and the Rapid Support Forces (RSF) more than 12,000 people have been killed, 6 million have been internally displaced, 1.5 million have fled the country as refugees, and human rights groups have documented extremely high rates of sexual violence against women and girls in the region. Estimates also forecast that as many as 250,000 children and pregnant women could die of malnutrition in the coming months and only 30 percent of hospitals in Sudan are functioning. “In 2019, the Sudanese people inspired the entire world when they rose up and demanded an end to the dictatorship of President Omar al Bashir and a transition to democracy. In 2020, I had the opportunity to visit Sudan as part of a Congressional Delegation to meet with the new President in a celebratory moment. I met many of the leaders of the peaceful nonviolent movement, and seeing their courage and resilience continued to give me hope. It breaks my heart to see the country plunged back into chaos and widespread suffering. Too many of the Sudanese people have been displaced from their homes, and face not only the violence and cruelty of war, but also critical shortages of food, water, medicine, and electricity. “I have been in close touch with the U.S. Special Envoy for Sudan, Tom Perriello, and I appreciate his hard work towards a resolution to this horrific conflict. I urge the White House to utilize every tool in its toolbox — including sanctions for those involved in furthering this violence — to push for successful peace talks that implement the Sudanese people’s vision of civilian democracy and towards funding immediate humanitarian assistance from all our global partners. I am also working hard to ensure that all Americans understand the human consequences of what is happening in Sudan and become engaged in protecting innocent Sudanese civilians. We cannot turn a blind eye to the loss of life and suffering of the Sudanese people and their clear desire for a constitutional transition.” More than 1,800 people with Sudanese roots live in Washington State, greatly affecting many in Jayapal’s district. Below are some of their personal notes on the violence occurring in Sudan: “The war in Sudan has endured for one year too long, inflicting immense suffering upon the country and its people.  The impact of the war is very personal to me. My family has been displaced and they had to seek safety and refuge in other countries. It is devastating for my parents to leave their family, their home and everything they worked for all their life. More than 25 million people are in need of humanitarian assistance. This is by far the world’s largest displacement crisis and no one is paying attention,” said Mubarak Elamin, Washington State Sudanese Community Leader. “The war in Sudan is something that I never fathomed would occur, at least not to the extent that it has become. Like many others,  my family has been displaced, many of them who are elders, and are required to start over again. All that I have now are my childhood memories of summer vacations in Khartoum, in Burri and I’m still in shock that going back isn’t an option,” said Duha Mohamed, Washington State Sudanese Community Leader. “The war has inflicted trauma upon millions of people across Sudan. Many have depleted through the little savings that they had and are unable to find work due to the war. Those in the diaspora are now emotionally and financially stressed from having to care of their relatives in Sudan while worrying about their safety,” said Ahmed Salih, Graduate Student, University of Washington. “Beyond the headlines are very real stories that for those who are removed from the situation may forget, especially in a time where it seems like death and calamities have become all too regular. However, for people like me, they aren’t just headlines but have very real impacts on our very being. The recent massacres in various towns in El Gezira by the RSF have left many in my own family dead. While I am geographically far from the situation, my heart is still painfully affected by the senseless violence inflicted upon relatives and family friends,” Mo Ibrahim, MBA Student, Seattle University. 
						Issues: Foreign Affairs & National Security  
							Washington, DC Office						 
							2346 Rayburn House Office Building						 
							Washington. DC 20515						 
							Phone: 202-225-3106						 
							Fax: 202-225-6197						 
							Seattle Office						 
							2033 6th Ave., Suite 1011						 
							Seattle, WA 98121						 
							Phone: 206-674-0040						 
							Fax: 771-200-5813						",Congress Progressive
April 14,Ann McLane Kuster,D,N.H.-2,New Democrat Coalition Leadership Implores Speaker Johnson to Put Essential National Security Package on the House Floor this Week,"Reports indicate that the United States Senate is poised to abandon – or quickly table – its Constitutional duty of holding a trial for the now impeached Secretary of Homeland Security, Alejandro Mayorkas.  This is a flagrant abuse of constitutional order and precedents of its own body.  And it comes against the backdrop of the House’s grueling work to adhere to our rules and hold the Biden Administration accountable for its refusal to comply with immigration laws passed by Congress.  I was one of the few House Republicans to vote to keep the impeachment procedures within the committee process and in keeping with regular order – a process that House Republicans doubled down on earlier this Congress.  It’s now time for the Senate to do its job and hold a full trial of Secretary Mayorkas – anything less would be a dereliction of duty ironically in line with the violations of Mayorkas himself.  When I voted to keep the impeachment process of Mayorkas with the committee of jurisdiction, I stated then that shortcuts couldn’t be an option if there was any hope of the Senate following our lead and holding Mayorkas accountable via impeachment. I also stated that we shouldn’t be taking a page out of the Democrat playbook by holding a “snap” impeachment akin to what the Democrats did to President Trump in 2021.  I certainly took potshots from elements of my party for doing so at the time, but I vote methodically and according to the rule of law and what is right morally.   While process and that vote gave rise to misguided political animus that was levied at me and other Republicans who voted to allow the House Homeland Security Committee to finish its investigation, it produced a stronger set of impeachment articles with even sharper teeth – which I was both proud to cosponsor and vote in favor of. We did our job by the book, refused to cut corners, and set novel precedent while doing so. In the end, I’m proud that my fellow House Republicans came to my position and committed to doing the hard work of a full impeachment inquiry, investigation, the committee process, and the successful impeachment of Secretary Mayorkas.  The Senate must respect the nearly year-long, five-phased investigation by the House Homeland Security Committee and the duly passed articles of impeachment.  The charges were of utmost consequence and were brought to avert a Constitutional crisis.  Mayorkas refused to comply with the laws passed by Congress and breaching the public trust by lying to Congress about the security of the border and the actions he took.  Actions like specifically directing through written memoranda that DHS employees violate immigration laws.   Think about the chaos that has engulfed not only the southern border, but also the entire nation under Secretary Mayorkas’ watch. According to data from Customs and Border Protection (CBP), more than 7.2 million illegal aliens have been encountered at the southwest border since President Biden and Secretary Mayorkas took office. There have been north of 1.8 million known “gotaways” that have evaded CBP and escaped into the United States. Since Fiscal Year 2021, more than 300 individuals on the terrorist watchlist have attempted to cross the nation’s southern border illegally. Sadly, the list goes on and on.  If the Executive Branch won’t enforce the laws we pass, Congress has few options of recourse. We could refuse to fund Mayorkas and his department, but in what way would this further border security?  Truly, impeachment is the only option left standing.  The Senate must face these facts.  It mustn’t run from our oral arguments, the review of evidence, and debate.  It must hold a full trial and do its duty as opposed to putting its head in the sand. The fabric of our Constitution – the separation of powers – might very well be at stake. I call on the Senate to fulfill its constitutional duty by holding a full trial for these impeachment articles and hold the Biden Administration accountable for its abuse of the rule of law. The American people are watching.

Published in the Greensboro News & Record",New Democrat Coalition
